年份,省份,绿色金融综合指数,绿色信贷,绿色投资,绿色保险,绿色债券,绿色支持,绿色基金,绿色权益,能源消费总量,年末常住人口,地区生产总值,人均能源消耗,能源强度,CO2排放量,碳排放强度,第一产业增加值,第二产业增加值,第三产业增加值,人均地区生产总值,Post_green,Treat_green,绿色金融试点DID,全国均值,减排效率,能源消费总量.1,煤炭消费量,焦炭消费量,原油消费量,汽油消费量,煤油消费量,柴油消费量,燃料油消费量,天然气消费量,电力消费量,Post_carbon,Treat_carbon,碳排放交易DID,产业结构高级化,能源利用效率,绿色信贷规模,indus_2,carbon_trading,environmental_tax,gfi_std,ln_pop
2013,吉林省,0.17330074,0.032628,0.00826,0.014481,0.004951,0.004937,0.031299,0.015721,8645.0,2668.0,13046.4,3.24025487256372,0.662634903115036,158125657.6,-1.21202521461859,1540.7,7661.9,5097.7,31952,0,0,0,1.91398219724656,0.366752096042377,8645.0,10413.74,719.77,1002.13,178.94,1.71,381.6,32.82,24.05,653.85,1,0,0,0.6653310536550986,1.5091266628108733,2.5009197939661514e-06,0.5872807824380671,0,0,-0.561392731615883,7.889084407035514
2014,吉林省,0.21222928,0.038038,0.009896,0.017683,0.006007,0.004453,0.038027,0.01954,8560.0,2642.0,13803.14,3.23996971990916,0.620148748762963,158236893.3,-1.14638331060904,1626.9,8238.7,5802.3,34988,0,0,0,1.79640226266579,0.361844874929152,8559.79,10379.34,664.72,999.37,193.36,1.71,378.42,31.91,22.58,667.81,1,0,0,0.704273732506342,1.6125163551401869,2.7557497786735484e-06,0.5968714364992315,0,0,-0.30206812994570803,7.879291485082271
2015,吉林省,0.20209053,0.036655,0.008775,0.017304,0.00596,0.004617,0.036185,0.018654,7020.0,2613.0,14063.13,2.6865671641791,0.499177636841869,151831412.0,-1.07964167294194,1714.5,8367.7,6698.8,37436,0,0,0,1.71577514742415,0.370755734186509,7020.0,8632.01,532.82,960.34,167.9,22.33,343.43,30.86,20.65,652.0,1,0,0,0.8005545131876143,2.0032948717948718,2.606461008324605e-06,0.5950097880059418,0,0,-0.36960796845964894,7.868254265520613
2016,吉林省,0.19744256,0.035084,0.009025,0.016114,0.005309,0.004636,0.036103,0.019215,6886.0,2567.0,14776.8,2.68250876509544,0.466000757944887,148934997.6,-1.00789749878187,1794.1,8732.5,7862.0,40950,0,0,0,1.62438398605541,0.379520170455872,6886.0,8349.29,477.62,1051.29,175.36,20.41,348.33,38.05,23.0,667.63,1,0,0,0.9003149155453765,2.1459192564623875,2.374262357208597e-06,0.5909601537545341,0,0,-0.40057067522504325,7.8504931808711405
2017,吉林省,0.19812876,0.036739,0.008744,0.017029,0.005352,0.005614,0.037333,0.015658,6881.0,2526.0,14944.53,2.72406967537609,0.460436025756581,150113095.3,-1.00446849315435,1835.3,9444.6,8930.9,44878,1,0,0,1.56738551218677,0.359143946818198,6881.0,8270.55,476.07,1026.83,188.51,29.55,343.37,29.08,24.91,702.98,1,0,0,0.9456091311437222,2.171854381630577,2.458357673342688e-06,0.6319770511350976,0,0,-0.3959995163358048,7.8343923029104365
2018,吉林省,0.23487881,0.039929,0.010123,0.017626,0.005506,0.006673,0.04491,0.019721,7000.0,2484.0,15074.62,2.81803542673108,0.46435664713273,158410588.2,-1.05084299438394,1877.3,10081.2,10758.0,50347,1,0,0,1.51591455826218,0.306792728748108,7000.0,8553.18,592.83,935.8,204.68,32.58,364.61,25.79,29.71,750.57,1,0,0,1.067134864897036,2.153517142857143,2.64875665190897e-06,0.668753175867783,0,1,-0.15118704513577993,7.81762544305337
2019,吉林省,0.216649,0.039267,0.010608,0.017798,0.005794,0.005066,0.039307,0.01814,7132.0,2448.0,11726.82,2.91339869281046,0.608178517279194,158644494.5,-1.35283473695341,2057.7,10820.3,11789.3,54640,1,0,0,1.5000536746505,0.0981424466237116,7132.0,8730.65,662.31,1035.48,182.71,33.68,346.18,28.15,30.17,780.37,1,0,0,1.0895538940694804,1.6442540661805944,3.3484781040384354e-06,0.9226968607005138,0,1,-0.27262592305858335,7.803026643632217
2020,吉林省,0.26262627,0.044579,0.010767,0.020171,0.006731,0.006909,0.044783,0.023426,7185.7,2399.23,12311.32,2.9950025633224,0.583666089420143,156868071.7,-1.27417751873885,2243.8,11107.9,12430.2,57065,1,0,0,1.47141701078949,0.134047309908978,7185.7,8489.19,669.56,970.25,174.35,28.35,341.79,32.52,31.67,805.0,1,0,0,1.1190414029654572,1.713308376358601,3.620976467186297e-06,0.9022509365364558,0,1,0.03365417962782833,7.782903131524679
2021,吉林省,0.25141102,0.043045,0.010895,0.019925,0.006408,0.005817,0.045198,0.022253,7287.6,2375.0,13235.5,3.06846315789474,0.550610101620642,161511466.7,-1.22028987722413,2334.1,13230.7,14263.0,66020,1,0,0,1.36781889095748,0.107857125463501,7287.6,8282.83,674.12,828.91,163.61,32.73,398.38,25.76,35.42,843.0,1,0,0,1.078023082678921,1.8161671881003347,3.2522382985153566e-06,0.9996373389747271,0,1,-0.04105682260553138,7.772752716468742
2022,吉林省,0.2893591,0.04761,0.011165,0.02125,0.007274,0.007921,0.047499,0.026753,7027.8,2348.0,13070.2,2.99310051107325,0.537696439228168,159542000.5,-1.22065462272957,2466.5,13483.0,15264.4,69019,1,0,0,1.27047633725244,0.0392149881599628,7392.9500087525,7809.19,628.67,953.76,88.47,31.73,242.96,22.27,37.14,887.14,1,0,0,1.1321219313209225,1.8597854236034037,3.6426374500772746e-06,1.031583296353537,0,1,0.2117363910661844,7.761319180947987
2023,吉林省,0.49765176,0.060579,0.019839,0.030979,0.016543,0.018427,0.058204,0.039656,7434.0,2339.0,13531.2,3.17828131680205,0.549396949272792,166593866.5,-1.23118323947617,2450.4,13706.5,16043.2,71216,1,0,0,1.2756783895882,0.0348795985533549,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1.170481158574399,1.820177562550444,4.476986520042568e-06,1.0129552441764218,0,1,1.5992893556860033,7.757478766584179
2024,吉林省,0.60159604,0.066185,0.023316,0.035038,0.021755,0.02452,0.061697,0.046363,7840.2,2317.0,14361.2,3.38377211911955,0.545929309528452,164525808.9,-1.14562716834248,2605.1,13688.5,17908.8,75862,1,0,0,1.21200651315194,0.0547681419935891,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1.3083098951674763,1.8317389862503508,4.60859816728407e-06,0.9531585104308832,0,1,2.2917198708528486,7.748028524432376
2000,四川省,0.09768237,0.021448,0.005426,0.009832,0.003166,0.003023,0.021272,0.010629,6518.0,8329.0,4010.25,0.782566934806099,1.62533507886042,107805404.1,-2.68824647091827,442.3,836.2,751.6,4814,0,0,0,4.53658228674969,0.407429139162753,6517.82,4861.98,447.25,38.89,143.65,36.04,161.61,13.32,58.67,521.23,0,0,0,0.8988280315713943,0.6152577477753912,5.348294994077676e-06,0.20851567857365502,0,0,-1.0651286456573013,9.02749867993534
2001,四川省,0.10627641,0.021831,0.005456,0.009959,0.003462,0.002954,0.023833,0.011831,6810.0,8143.0,4293.49105,0.836301117524254,1.58612185764309,110226027.9,-2.56728211649585,444.4,871.4,843.2,5063,0,0,0,4.16809156222866,0.384062927081397,6810.0,4650.0,487.81,55.8,157.96,43.62,194.86,11.74,63.07,586.48,0,0,0,0.9676382832224009,0.6304685829662261,5.084673461704316e-06,0.2029583827827008,0,0,-1.0078789774257788,9.004913941467132
2002,四川省,0.09491713,0.021104,0.005178,0.009468,0.003,0.003458,0.021414,0.009581,7510.0,8110.0,4725.0134,0.926017262638718,1.58941348187499,115063670.3,-2.43520304725485,463.4,942.1,953.2,5472,0,0,0,4.06804884448575,0.401383036352729,7510.0,5462.0,541.2,57.78,171.47,56.13,196.43,12.42,69.96,670.76,0,0,0,1.0117821887273113,0.6291629027962716,4.466442359719023e-06,0.19938567793268058,0,0,-1.0835494433939343,9.000853147109458
2003,四川省,0.11738155,0.023822,0.005907,0.010719,0.0035,0.003696,0.023393,0.012914,9204.0,8176.0,5333.09,1.12573385518591,1.72582874093631,125726453.2,-2.35747855745918,494.6,1059.8,1079.0,6048,0,0,0,4.08414499624993,0.422773050510249,9203.51,7254.1,625.58,75.67,181.66,72.14,226.98,11.13,74.68,758.79,0,0,0,1.0181166257784489,0.5794317687961756,4.466828799063957e-06,0.19872156667147936,0,0,-0.933901478989117,9.008958312443486
2004,四川省,0.13181763,0.027279,0.006335,0.012168,0.003991,0.004785,0.023988,0.012073,10700.0,8090.0,6379.63,1.32262051915946,1.67721325531418,143578127.7,-2.25057139207133,607.8,1267.8,1260.8,7136,0,0,0,3.89549779892895,0.422263467151716,10699.98,8188.68,813.32,114.99,204.02,78.99,269.71,8.11,80.64,857.02,0,0,0,0.9944786243887048,0.5962271028037384,4.275953307636963e-06,0.1987262584193754,0,0,-0.8377347412774335,8.998384010052538
2005,四川省,0.1440872,0.027249,0.007073,0.012232,0.004111,0.003834,0.02902,0.014733,11816.0,8212.0,7385.1,1.43886994641987,1.59997833475511,166915623.6,-2.26016741276354,646.3,1387.3,1464.1,7890,0,0,0,3.71995059106252,0.392420044988293,11301.1,7791.93,894.54,140.81,224.44,93.56,287.43,8.08,89.52,942.59,0,0,0,1.0553593310747496,0.6250084631008802,3.6897266116911074e-06,0.18785121393075244,0,0,-0.7560003286096497,9.013351778138825
2006,四川省,0.14368185,0.025719,0.006444,0.011506,0.003985,0.003785,0.030091,0.016249,12986.0,8169.0,8690.24,1.58966825804872,1.49432006480834,186491284.9,-2.14598543768642,704.5,1674.2,1712.0,9158,0,0,0,3.57740717995078,0.400128268955969,12538.5,8532.71,1003.67,174.94,269.32,105.83,354.61,9.5,106.08,1059.44,0,0,0,1.0225779476765022,0.669200677652857,2.9595270096107817e-06,0.19265290716942227,0,0,-0.7587005898392515,9.00810178134187
2007,四川省,0.14122628,0.027423,0.006492,0.012314,0.004172,0.004444,0.027713,0.013608,14214.0,8127.0,10562.39,1.74898486526394,1.34571815659145,208402071.8,-1.97305791397591,849.6,2057.4,2170.4,11287,0,0,0,3.23986794305777,0.391006686490515,13685.19,9450.11,1144.05,239.95,330.44,128.62,394.23,7.17,112.15,1177.5,0,0,0,1.0549236900942938,0.7430976502040242,2.5962873932888297e-06,0.19478546048763587,0,0,-0.775058503907522,9.002947130753205
2008,四川省,0.13927213,0.026864,0.00684,0.012241,0.004164,0.00362,0.029041,0.013616,15145.0,8138.0,12601.23,1.86102236421725,1.20186680189156,209387634.1,-1.66164441169632,1001.9,2476.1,2538.6,13286,0,0,0,2.71728515287532,0.388490968664795,15145.0,10727.0,1119.1,285.49,375.92,126.61,473.94,12.6,108.94,1213.29,0,0,0,1.0252413068939057,0.832038956751403,2.1318553823714036e-06,0.19649669119601818,0,0,-0.7880761811785878,9.004299728561636
2009,四川省,0.15821499,0.030341,0.00782,0.013997,0.004394,0.00413,0.030734,0.014646,16322.0,8185.0,14151.28,1.99413561392792,1.15339389793715,215846443.7,-1.52527858752,1049.7,2605.4,2919.3,14427,0,0,0,2.66960201713366,0.428649447471692,16322.0,12147.0,1121.99,315.68,462.92,155.07,538.46,13.34,126.99,1361.87,0,0,0,1.120480540416059,0.8670064943021689,2.1440463336178775e-06,0.18411055395695655,0,0,-0.6618872816207341,9.010058489805235
2010,四川省,0.16333483,0.029283,0.007384,0.012815,0.004218,0.004866,0.032567,0.016252,17892.0,8044.92,17185.48,2.22401217165615,1.0411114498984,226354139.9,-1.3171243392678,1090.3,3267.7,3377.3,16866,0,0,0,2.40850270516871,0.45313561971875,17891.83,11520.4,1353.64,351.76,541.82,173.31,525.1,62.82,175.26,1549.03,0,0,0,1.0335404106864157,0.9605119606528058,1.7039384410560544e-06,0.19014307426967417,0,0,-0.6277811870018497,8.992796115312405
2011,四川省,0.1776285,0.034703,0.008487,0.015681,0.00498,0.005555,0.030308,0.014649,19696.0,8064.0,21026.68,2.44246031746032,0.936714688196139,254049391.1,-1.20822398543184,1396.6,3811.4,4315.1,20653,0,0,0,2.18035126729488,0.445858103895864,19696.0,11454.0,1438.85,361.75,642.08,206.24,576.52,70.45,156.08,1963.0,0,0,0,1.1321561630896784,1.0675609260763608,1.6504269813398976e-06,0.18126494529806894,0,0,-0.5325631213062204,8.99516499031115
2012,四川省,0.17528388,0.033854,0.008295,0.015255,0.005199,0.005106,0.03111,0.014691,20575.0,8085.0,23872.8,2.54483611626469,0.861859522133977,258826777.5,-1.08419111918166,1640.4,4458.4,4998.6,23992,0,0,0,2.01609935715007,0.462233289576435,20575.0,11872.0,1562.85,351.47,700.0,205.44,643.4,75.21,153.0,2009.6,0,0,0,1.1211645433339317,1.1602818955042526,1.4180992594081968e-06,0.18675647598941053,0,0,-0.5481819358717788,8.997765772011208
2013,四川省,0.17749134,0.032792,0.008212,0.014507,0.005129,0.004944,0.034179,0.015314,19212.0,8109.0,26392.07,2.36921938586755,0.727945932244041,265764633.2,-1.00698669410925,1878.5,5000.5,5946.5,27665,0,0,0,1.91398219724656,0.473878756261216,19212.0,11678.55,1760.13,306.49,818.47,239.76,754.04,87.9,148.3,1948.95,1,0,0,1.1891810818918107,1.3737283989173432,1.2424944310923698e-06,0.18946979149418747,0,0,-0.5334768201596857,9.000729834944558
2014,四川省,0.18563432,0.034352,0.008295,0.015693,0.005163,0.005201,0.033955,0.016453,19879.0,8139.0,28536.66,2.44243764590244,0.69661270800437,263170033.9,-0.922217364961422,2007.4,5376.5,6657.7,30217,0,0,0,1.79640226266579,0.48663092664285,19878.66,11045.39,1863.88,865.4,829.84,250.54,748.57,125.72,165.17,2014.79,1,0,0,1.238296289407607,1.4355178831933195,1.2037848858275636e-06,0.1884067722010915,0,0,-0.47923191282670585,9.004422601327041
2015,四川省,0.19596193,0.035957,0.009101,0.01621,0.00546,0.005185,0.034755,0.017475,18306.0,8196.0,30053.1,2.23352855051245,0.609121854317857,256845145.9,-0.854637777467216,2079.3,5491.7,7389.0,32117,0,0,0,1.71577514742415,0.501894068840976,18306.0,8824.34,1152.08,989.56,767.06,194.76,842.41,24.91,196.92,1992.0,1,0,0,1.3454850046433708,1.64170763684038,1.1964489520215885e-06,0.18273322885159934,0,0,-0.4104339730772336,9.011401509358791
2016,四川省,0.20900404,0.036803,0.009363,0.016159,0.005611,0.005669,0.036974,0.019397,18756.0,8251.0,32934.54,2.27317900860502,0.569493303990279,252149056.3,-0.765606734753241,2225.5,5747.4,8396.1,35051,0,0,0,1.62438398605541,0.528678722933971,18756.0,8467.99,1129.38,902.77,800.62,210.0,862.64,69.61,202.69,2101.02,1,0,0,1.4608518634513,1.7559468969929624,1.117459056662094e-06,0.17450980034942037,0,0,-0.32355324288060655,9.018089684104343
2017,四川省,0.23955938,0.04193,0.010349,0.018764,0.006323,0.006493,0.041813,0.020324,19229.0,8289.0,36980.22,2.31982145011461,0.519980681564361,251637199.4,-0.680464311461641,2338.4,6317.8,9829.8,39458,1,0,0,1.56738551218677,0.565860277404072,19229.0,7815.38,1127.09,956.37,828.14,205.94,888.45,65.54,216.26,2205.18,1,0,0,1.5558897084428123,1.9231483696500078,1.1338493929998253e-06,0.17084268292616972,0,0,-0.12000717168459554,9.022684613591526
2018,四川省,0.22514089,0.03952,0.009595,0.018339,0.006183,0.005403,0.040767,0.020034,19916.0,8321.0,40678.13,2.39346232423987,0.4895996939879,255717920.3,-0.628637354519492,2498.7,7267.5,11114.5,44446,1,0,0,1.51591455826218,0.585308188318903,19916.0,7495.78,1165.88,719.82,874.13,209.47,902.12,33.33,237.0,2459.49,1,0,0,1.529342965256278,2.042484936734284,9.715294188793832e-07,0.17865865515450194,0,1,-0.21605673264771916,9.02653771890043
2019,四川省,0.21101126,0.037347,0.009316,0.016886,0.005772,0.005373,0.038441,0.01895,20791.0,8351.0,46615.82,2.48964195904682,0.446007385475575,251665563.0,-0.539871577932127,3037.7,8060.4,12125.7,49323,1,0,0,1.5000536746505,0.640098493103646,20791.0,7713.47,1302.68,1010.17,916.97,214.2,912.92,50.06,254.38,2635.83,1,0,0,1.504354622599375,2.242115338367563,8.011657844911878e-07,0.17291125630740808,0,1,-0.31018203689742785,9.03013657115323
2020,四川省,0.24168768,0.041492,0.010243,0.018706,0.006815,0.005728,0.043281,0.021348,16355.0,8370.7,48598.76,1.95383898598683,0.336531220138127,246645703.3,-0.507514396046319,3611.8,8387.5,12556.5,52047,1,0,0,1.47141701078949,0.655084593745446,21185.9,7501.62,1215.66,955.15,955.15,897.18,160.07,898.65,250.59,2865.0,1,0,0,1.497049180327869,2.9714925099357994,8.537666393134311e-07,0.17258670797361908,0,1,-0.10582938464879524,9.032492792005675
2021,四川省,0.22252936,0.040642,0.009855,0.018355,0.006176,0.006256,0.040069,0.016841,17241.3,8372.0,53850.8,2.05940038222647,0.320167945508702,265188890.3,-0.492451161914029,3831.3,9537.2,13793.1,57717,1,0,0,1.36781889095748,0.639973416678496,22569.4,7675.75,1188.62,1024.84,934.8,169.26,925.67,52.36,274.38,3275.0,1,0,0,1.4462420836304155,3.1233607674595305,7.54714878887593e-07,0.17710414701360055,0,1,-0.2334535827992972,9.03264808356589
2022,四川省,0.24886149,0.043622,0.010796,0.019496,0.00633,0.006999,0.043201,0.020311,17196.117213,8374.0,56749.8,2.05351292249821,0.303016349185372,259310270.9,-0.45693600840884,4001.9,10120.3,14433.9,60868,1,0,0,1.27047633725244,0.640342763567702,22545.0234567858,7622.39,1117.54,1008.78,985.82,167.49,955.19,25.84,275.9,3447.12,1,0,0,1.426232423940002,3.3001519643689115,7.686723125015418e-07,0.17833190601552779,0,1,-0.05804065636082145,9.032886946579088
2023,四川省,0.44042969,0.054752,0.019888,0.028788,0.014636,0.015894,0.054483,0.031931,17150.934426,8368.0,60132.9,2.0495858539675,0.285217151110291,265536910.5,-0.441583410246304,4206.6,10256.3,15558.2,64107,1,0,0,1.2756783895882,0.653844249577002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1.5169408071136767,3.506100513616412,9.105165391990075e-07,0.17056054173339386,0,1,1.2181014018225171,9.032170186304704
2024,四川省,0.52376571,0.058738,0.023747,0.031946,0.018609,0.020797,0.058122,0.036015,17105.751639,8364.0,64697.0,2.04516399318508,0.2643979108614,270294726.0,-0.417785563472804,4192.9,10330.0,17011.1,67612,1,0,0,1.21200651315194,0.655294291788654,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1.6467666989351402,3.7821781448349254,9.078937199561031e-07,0.159667372521137,0,1,1.7732488641028326,9.031692060548524
2000,天津市,0.10164596,0.02174,0.005368,0.009959,0.003353,0.00306,0.022048,0.011182,2794.0,1001.14,1639.36,2.79081846694768,1.70432363849307,47680363.68,-2.90847426312707,35.4,27.1,55.3,4572,0,0,0,4.53658228674969,0.358884270297036,2793.71,2472.71,143.68,709.76,112.43,18.82,197.6,79.51,5.4,234.05,0,1,0,2.0405904059040587,0.5867430207587687,1.3261272691782158e-05,0.016530841303923485,0,0,-1.0387249737514481,6.908894629675563
2001,天津市,0.11036006,0.023377,0.006274,0.010528,0.003473,0.003102,0.022697,0.01168,2918.0,1004.06,1919.09,2.90620082465191,1.52051232615458,51129812.52,-2.66427382353094,36.5,32.0,70.7,5318,0,0,0,4.16809156222866,0.360792875167464,2918.0,2635.0,128.77,749.35,116.27,11.42,183.42,87.46,7.89,250.47,0,1,0,2.209375,0.6576730637422892,1.2181294259258294e-05,0.016674569717939233,0,0,-0.9806755192531783,6.911807059422235
2002,天津市,0.10683369,0.0228,0.005783,0.010106,0.003525,0.003386,0.022527,0.010881,3022.0,1007.18,2150.76337,3.00045672074505,1.40508251263364,53044949.76,-2.46633128032118,38.7,32.7,90.6,6094,0,0,0,4.06804884448575,0.393731153532166,3022.0,2929.0,149.49,675.58,94.76,15.63,183.81,88.98,6.48,281.0,0,1,0,2.7706422018348618,0.7117019755129054,1.060088725613734e-05,0.015203904091039082,0,0,-1.0041666261786282,6.914909625503595
2003,天津市,0.11946653,0.025336,0.006404,0.011326,0.003779,0.003828,0.02308,0.011428,3215.0,1011.3,2578.03,3.17907643627015,1.24707625590082,57326449.79,-2.22365332404976,39.6,47.5,98.9,6883,0,0,0,4.08414499624993,0.455540063809801,3214.97,3205.34,143.15,750.95,106.42,18.61,193.79,113.48,7.26,313.0,0,1,0,2.082105263157895,0.8018755832037325,9.82765910404456e-06,0.018424921354677794,0,0,-0.9200122705063358,6.918991910908125
2004,天津市,0.13748772,0.026866,0.006639,0.011793,0.004304,0.00413,0.025856,0.014056,3697.0,1023.67,3110.97,3.61151542977717,1.18837532988103,62247092.5,-2.00089015644638,42.1,51.3,124.5,7946,0,0,0,3.89549779892895,0.48635828853593,3696.68,3508.57,328.04,786.57,118.71,15.02,226.03,113.9,8.55,350.97,0,1,0,2.426900584795322,0.8414849878279685,8.635891699373509e-06,0.01649003365509793,0,0,-0.7999631261414936,6.931149488035728
2005,天津市,0.11774743,0.024432,0.005649,0.010941,0.003695,0.004146,0.023602,0.011561,4085.0,1043.0,3905.64,3.91658676893576,1.04592333138743,81893459.46,-2.09679999846376,44.9,60.5,137.7,8733,0,0,0,3.71995059106252,0.436336599872727,4115.2,3801.45,329.75,863.14,118.96,15.12,243.14,112.69,9.04,384.84,0,1,0,2.2760330578512393,0.9560930232558139,6.255568869634682e-06,0.015490418983828516,0,0,-0.9314641493266359,6.949856455000773
2006,天津市,0.12876925,0.025584,0.006285,0.011486,0.003921,0.003893,0.025661,0.013128,4500.0,1075.0,4462.74,4.18604651162791,1.00834913080305,83745506.55,-1.87654908307452,47.6,76.1,162.2,10112,0,0,0,3.57740717995078,0.475444368314725,4525.14,3809.31,541.1,900.49,127.84,16.36,247.03,107.12,11.22,445.73,0,1,0,2.131406044678055,0.9917199999999999,5.732800924992269e-06,0.017052304189802678,0,0,-0.8580416916341468,6.980075940561763
2007,天津市,0.14090325,0.028737,0.007082,0.012915,0.004,0.00474,0.027384,0.011631,4943.0,1115.0,5252.76,4.43318385650224,0.941029097084199,85546770.04,-1.628606104981,52.3,95.2,196.6,11991,0,0,0,3.23986794305777,0.497323306503681,4944.49,3926.7,667.75,950.14,140.15,19.38,260.84,89.63,14.27,510.68,0,1,0,2.065126050420168,1.0626663969249444,5.470838187924062e-06,0.018123805389928343,0,0,-0.77721038594773,7.016609683894219
2008,天津市,0.1409482,0.027196,0.006378,0.012125,0.003828,0.004864,0.027254,0.013905,5364.0,1176.0,6719.01,4.56122448979592,0.798331897109842,87992904.18,-1.30961115074989,57.6,110.8,229.8,13703,0,0,0,2.71728515287532,0.518044269529786,5364.0,3973.0,719.23,790.33,148.76,18.13,289.76,92.49,16.84,535.26,0,1,0,2.0740072202166067,1.2526118568232663,4.047620110700833e-06,0.01649052464574394,0,0,-0.7769109490604212,7.069874128458572
2009,天津市,0.15564408,0.029767,0.007569,0.013491,0.004368,0.004339,0.030224,0.014473,5874.0,1228.16,7521.85,4.78276446065659,0.780924905442145,106890568.5,-1.42106753657677,60.5,130.1,255.1,15154,0,0,0,2.66960201713366,0.467685622255198,5874.0,4120.0,868.65,844.64,181.03,20.73,303.57,94.65,18.12,576.92,0,1,0,1.9607993850883936,1.2805328566564522,3.957404096066792e-06,0.01729627684678636,0,0,-0.6790135394171958,7.1132723933792805
2010,天津市,0.17882825,0.033374,0.008572,0.015045,0.0051,0.004656,0.032866,0.01617,6818.0,1299.29,9224.46,5.24748131671913,0.739121856455554,118617239.5,-1.28589900655431,64.8,155.0,293.1,17209,0,0,0,2.40850270516871,0.466100244025162,6818.08,4806.79,663.91,1566.79,205.12,21.4,333.54,143.69,22.93,645.74,0,1,0,1.890967741935484,1.3529568788501025,3.6179895625326583e-06,0.016803151620799484,0,0,-0.5245709209603098,7.1695732404071375
2011,天津市,0.17050266,0.032471,0.008576,0.014724,0.004789,0.004382,0.030922,0.015765,7598.0,1341.0,11307.28,5.66592095451156,0.67195647405919,123694165.5,-1.09393386826894,69.8,195.6,346.1,20083,0,0,0,2.18035126729488,0.498276316904586,7598.0,5262.0,709.48,1754.02,222.57,24.53,360.66,149.96,26.02,727.0,0,1,0,1.769427402862986,1.4881916293761517,2.8716897432450595e-06,0.01729858993497994,0,0,-0.5800322948114532,7.201170883281678
2012,天津市,0.18321026,0.033549,0.008446,0.015316,0.005009,0.004778,0.034243,0.016898,8208.0,1378.0,12893.88,5.95645863570392,0.63658107567311,125802821.2,-0.975678548272514,75.3,226.1,408.8,22762,0,0,0,2.01609935715007,0.516056316960629,8208.01,5298.0,882.72,1544.62,253.75,29.41,378.17,122.33,32.58,767.13,0,1,0,1.8080495356037152,1.570891812865497,2.6019320794051134e-06,0.017535450927106504,0,0,-0.495379921303895,7.228388451573604
2013,天津市,0.19382457,0.035551,0.008739,0.015852,0.005303,0.005658,0.03522,0.016559,7882.0,1410.0,14442.01,5.59007092198582,0.545768906128718,129211063.8,-0.894688923494721,81.2,270.8,476.2,26209,0,0,0,1.91398219724656,0.532551073472985,7882.0,5278.67,955.48,1759.15,212.24,56.12,324.65,86.93,37.79,774.49,1,1,1,1.7584933530280649,1.8322773407764528,2.461637957597315e-06,0.018750852547533205,1,0,-0.42467211379933023,7.251344983372214
2014,天津市,0.18348397,0.034307,0.008641,0.015014,0.005218,0.005435,0.032696,0.015828,8145.0,1429.0,15726.93,5.69979006298111,0.517901459471111,133566584.8,-0.849285809754351,88.1,310.3,541.3,29275,0,0,0,1.79640226266579,0.527229603633406,8145.06,5027.28,954.39,1603.17,226.82,59.85,334.43,78.2,45.49,794.36,1,1,1,1.7444408636803093,1.9308692449355433,2.181417479444494e-06,0.019730487768432874,1,0,-0.4935565871453795,7.264730177929867
2015,天津市,0.19861336,0.037034,0.009446,0.016652,0.005681,0.005255,0.035287,0.016448,8319.0,1439.0,16538.19,5.78109798471161,0.503017561172051,128589778.8,-0.777532358740588,93.6,341.8,607.6,31847,0,0,0,1.71577514742415,0.546833185042994,8319.0,4538.83,904.69,1616.72,267.22,65.78,390.57,94.14,63.98,801.0,1,1,1,1.777647747220597,1.988002163721601,2.239301882491373e-06,0.020667316072677848,1,0,-0.39277132688998007,7.271703706887368
2016,天津市,0.21586185,0.037517,0.009652,0.01671,0.005705,0.005449,0.03848,0.020437,8078.0,1443.0,17885.39,5.5980595980596,0.451653556338442,124786068.7,-0.69769833758168,110.5,390.4,672.1,35015,0,0,0,1.62438398605541,0.570484353717409,8078.0,4230.16,887.29,1433.6,274.79,82.02,371.76,45.33,74.53,807.93,1,1,1,1.7215676229508199,2.2140864075266156,2.0976338788251193e-06,0.02182787179927304,1,0,-0.27786956590274553,7.274479558773871
2017,天津市,0.21217997,0.037866,0.0095,0.016927,0.005304,0.006135,0.038704,0.018052,7832.0,1410.0,18549.19,5.55460992907801,0.422228679527246,125899974.7,-0.678735700588543,118.2,469.6,761.2,39158,1,0,0,1.56738551218677,0.56696314001168,7832.0,3875.61,808.7,1624.85,274.16,101.5,349.11,40.68,83.31,805.59,1,1,1,1.620954003407155,2.368384831460674,2.0413829390932974e-06,0.02531646934448351,1,0,-0.3023966112118525,7.251344983372214
2018,天津市,0.20457732,0.035163,0.008738,0.015727,0.005123,0.005576,0.038014,0.019922,7973.0,1383.0,18809.64,5.76500361532899,0.423878394270172,136199726.0,-0.724095336221214,128.3,582.7,837.3,44051,1,0,0,1.51591455826218,0.522337632899768,7973.0,3832.89,867.23,1688.23,273.65,108.92,326.06,46.99,104.03,861.44,1,1,1,1.4369315256564268,2.3591671892637653,1.8694137686845682e-06,0.030978795979083068,1,1,-0.353042080651183,7.232010331664759
